Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD
2008,Australia,Victoria,Coffee,20.94,2639.05,4.95,1.97,6,42.74,13.81,90.6,46.04,Crop Rotation,711.34
1996,Nigeria,South East,Wheat,23.0,1189.48,18.68,2.6910000000000003,9,11.15,39.42,77.79,88.18,Drought-resistant Crops,1201.22
2014,Russia,Central,Rice,29.17,1405.59,8.17,1.81,6,32.18,43.7,32.04,75.47,No Adaptation,657.55
2006,Brazil,North,Cotton,26.73,1660.23,14.92,1.98,5,49.95,0.72,69.54,41.68,Drought-resistant Crops,910.87
2009,China,East,Rice,21.37,636.48,15.22,0.8190000000000001,2,87.06,26.28,27.15,72.84,No Adaptation,152.23
2012,Brazil,Northeast,Barley,-0.86,1303.28,10.19,1.07,2,31.78,37.84,51.63,56.8,Organic Farming,457.24
1999,Australia,Victoria,Vegetables,11.75,1919.54,12.98,2.31,10,67.7,15.46,76.52,63.87,No Adaptation,904.02
2011,Nigeria,North Central,Soybeans,-2.44,586.46,2.03,0.95,7,81.72,3.22,28.51,41.01,Crop Rotation,133.48
2015,France,Nouvelle-Aquitaine,Cotton,18.52,780.09,10.09,2.19,7,34.62,47.72,28.42,38.21,Crop Rotation,1000.69
2023,Canada,Quebec,Wheat,-2.61,710.57,4.03,2.48,10,67.09,17.28,11.43,64.99,Water Management,1077.38
2013,Argentina,Pampas,Cotton,23.46,993.99,28.43,1.521,7,73.17,36.38,29.44,71.79,Organic Farming,464.95
2020,France,Ile-de-France,Coffee,16.75,2854.49,22.3,3.366,7,91.45,21.36,80.76,47.8,Water Management,1237.26
2002,France,Nouvelle-Aquitaine,Vegetables,15.62,2348.64,4.1,3.95,8,17.76,30.24,92.96,99.82,Organic Farming,1690.69
2024,Brazil,Southeast,Rice,-0.91,916.1,12.26,0.56,1,31.21,16.7,70.48,78.33,Water Management,146.4
1991,Brazil,North,Corn,10.88,2160.93,3.12,2.13,4,26.25,17.02,58.6,74.0,Water Management,818.6
2019,Australia,New South Wales,Wheat,16.22,1222.35,26.35,1.62,3,76.52,40.08,6.97,44.6,Drought-resistant Crops,698.98
2024,Argentina,Patagonia,Coffee,2.79,1944.52,20.71,0.8280000000000001,4,58.99,47.96,3.9,73.47,Water Management,226.98
2016,Brazil,Northeast,Soybeans,32.37,1103.04,22.53,1.404,1,66.03,7.04,47.21,56.97,Water Management,366.94
2017,China,South,Rice,1.05,2618.59,18.72,0.81,1,78.76,29.83,59.12,37.39,Water Management,116.26
2005,China,South,Corn,-3.75,1051.31,9.59,0.99,5,97.18,7.13,97.28,96.31,Crop Rotation,355.3
1993,USA,West,Rice,18.05,391.16,18.64,3.96,5,91.05,3.76,99.89,37.87,Crop Rotation,1009.71
2022,China,South,Wheat,-0.34,2967.32,16.84,1.557,0,81.07,44.5,92.19,64.16,Drought-resistant Crops,269.52
2010,Brazil,North,Vegetables,0.08,1662.53,13.85,2.22,10,77.04,15.94,92.54,85.24,Water Management,926.75
2012,Russia,Siberian,Wheat,31.67,863.78,13.9,3.02,7,90.97,22.28,70.33,98.66,Crop Rotation,931.73
1997,Argentina,Northwest,Soybeans,13.99,1063.82,0.75,3.07,0,59.77,19.44,22.5,81.96,Crop Rotation,1104.59
2009,Russia,Central,Fruits,13.2,2713.36,3.4,4.31,1,67.18,24.77,34.96,64.71,Organic Farming,1217.9
2016,Nigeria,South East,Barley,15.75,2128.68,20.97,3.483,1,79.63,37.27,16.96,62.68,Water Management,1310.99
2011,Australia,Western Australia,Soybeans,1.57,798.14,5.14,2.36,9,51.48,14.31,91.02,32.42,Organic Farming,987.4
2004,Nigeria,North West,Corn,32.28,1836.63,11.44,3.42,1,37.67,16.76,29.79,35.55,Water Management,696.8
1998,India,Punjab,Soybeans,12.14,1507.9,1.55,4.79,0,97.69,8.28,56.73,89.16,Organic Farming,1163.98
2009,Russia,Northwestern,Wheat,-2.0,2280.09,12.7,1.81,8,93.41,8.64,85.61,48.73,Organic Farming,692.13
1990,Canada,Quebec,Corn,15.3,739.72,5.03,3.27,8,13.92,5.8,9.44,44.82,Crop Rotation,1159.41
2020,India,West Bengal,Sugarcane,18.74,309.92,20.51,3.042,9,76.58,48.2,73.87,55.53,No Adaptation,1228.61
1992,Canada,Prairies,Wheat,29.66,1021.58,18.34,1.242,2,17.03,35.39,93.24,64.24,No Adaptation,291.15
2009,France,Ile-de-France,Rice,20.82,1797.23,12.36,1.89,8,65.4,26.85,9.25,34.94,No Adaptation,927.92
2003,Canada,Ontario,Vegetables,8.74,1441.35,0.86,1.23,5,66.34,29.28,96.7,30.27,No Adaptation,488.8
1995,Nigeria,North Central,Fruits,18.36,1185.54,14.99,3.35,2,50.59,46.13,75.53,58.97,Crop Rotation,1152.48
2017,Argentina,Northeast,Coffee,-0.53,2177.52,12.07,1.32,9,14.68,19.33,95.18,66.59,Organic Farming,238.24
1995,Argentina,Northwest,Corn,16.05,915.89,1.41,3.72,2,89.41,37.29,66.26,35.06,Drought-resistant Crops,661.98
2018,Nigeria,South East,Soybeans,4.57,494.92,16.8,2.043,6,75.74,39.31,45.94,77.74,Crop Rotation,397.3
2002,France,Grand Est,Fruits,14.59,1814.94,2.87,3.37,6,47.34,30.39,62.65,69.62,No Adaptation,373.61
2014,Australia,Queensland,Rice,9.68,2510.94,25.0,1.908,8,49.68,31.24,30.4,81.83,Water Management,393.55
2012,China,North,Wheat,4.62,242.14,8.9,1.575,3,81.95,40.76,20.74,37.09,Organic Farming,746.04
2019,Australia,New South Wales,Rice,4.53,2513.56,25.76,0.99,2,90.53,30.61,37.22,30.96,Drought-resistant Crops,299.48
2008,Canada,Quebec,Wheat,5.77,1034.34,1.97,0.61,10,98.87,27.45,45.05,57.56,Water Management,150.37
1993,Nigeria,South West,Fruits,32.78,854.02,7.27,2.86,9,98.03,18.45,94.22,83.3,Organic Farming,315.03
2022,Canada,Ontario,Fruits,-0.51,2093.27,11.29,2.88,3,55.19,14.16,54.89,34.4,No Adaptation,1323.92
1997,USA,South,Coffee,34.07,1965.45,20.34,2.853,9,49.77,29.93,1.12,49.98,Drought-resistant Crops,642.36
2011,Brazil,South,Fruits,13.29,1277.82,5.12,4.0,10,97.87,0.07,52.22,44.64,Water Management,403.83
1994,China,East,Cotton,19.72,1314.65,3.13,2.06,6,52.17,43.54,36.43,43.03,Organic Farming,445.9
2022,France,Ile-de-France,Rice,33.63,790.51,0.67,2.73,0,38.78,32.07,16.66,60.66,Crop Rotation,1079.45
2000,Nigeria,South East,Rice,28.65,1312.04,15.52,3.4650000000000003,1,21.39,13.82,63.2,71.49,No Adaptation,605.68
2016,Australia,Queensland,Rice,24.16,1676.06,23.13,1.386,10,88.89,43.03,69.48,58.99,Organic Farming,646.38
2012,USA,Midwest,Vegetables,-3.77,698.5,27.68,1.2060000000000002,2,69.03,14.97,9.47,80.0,No Adaptation,268.11
2008,Australia,Victoria,Corn,25.49,1704.94,20.18,1.611,3,48.66,1.98,64.11,45.4,Crop Rotation,611.87
2010,France,Provence-Alpes-Cote d’Azur,Sugarcane,2.41,256.48,18.95,0.936,4,97.88,15.82,54.91,99.09,Water Management,165.43
1990,Nigeria,North West,Vegetables,4.03,338.35,6.57,1.116,0,47.31,22.19,1.34,74.72,No Adaptation,165.05
2000,USA,South,Vegetables,23.61,1287.1,17.0,1.476,7,64.45,49.46,29.43,52.68,Crop Rotation,329.19
1993,Argentina,Northeast,Cotton,11.76,949.18,16.23,2.871,5,85.6,11.59,18.53,32.25,Drought-resistant Crops,703.14
2018,Canada,Quebec,Coffee,32.91,2220.48,26.29,3.15,2,43.33,34.02,17.83,85.36,Drought-resistant Crops,1297.88
2003,Canada,British Columbia,Coffee,2.67,2587.66,26.72,1.197,9,50.16,30.98,87.77,61.88,Drought-resistant Crops,433.42
1994,USA,Midwest,Vegetables,13.55,2895.8,1.5,3.55,6,94.31,48.76,23.63,74.06,Water Management,1316.2
2006,Argentina,Northwest,Coffee,10.13,890.52,16.65,3.474,3,18.87,15.58,75.54,52.7,Crop Rotation,1734.44
2008,France,Nouvelle-Aquitaine,Cotton,9.84,2318.15,14.62,2.96,0,95.05,26.65,60.89,67.05,Drought-resistant Crops,397.42
2007,Nigeria,South East,Soybeans,32.22,1904.65,24.17,2.367,5,35.82,8.66,43.36,35.55,Organic Farming,1093.87
2002,Argentina,Pampas,Coffee,14.27,2838.72,23.81,1.467,6,85.95,17.96,78.67,45.69,No Adaptation,695.54
2001,Australia,Queensland,Cotton,-2.56,968.1,14.71,1.78,2,83.63,16.76,81.77,85.0,No Adaptation,660.38
2006,Canada,Ontario,Rice,28.83,1127.9,12.97,1.11,8,43.43,15.22,67.29,35.83,No Adaptation,507.87
2014,Nigeria,North West,Barley,-2.66,2392.65,6.35,1.3,2,15.36,15.75,27.71,58.38,Organic Farming,526.14
2010,Brazil,Southeast,Corn,16.09,2159.68,29.85,3.528,2,43.28,24.28,65.22,88.72,Organic Farming,521.96
1996,Canada,Quebec,Corn,9.04,2443.72,13.53,1.29,1,77.46,8.99,57.54,52.91,Crop Rotation,644.11
2008,France,Grand Est,Coffee,9.46,2091.63,6.38,0.72,4,65.53,7.82,32.96,88.71,Water Management,91.16
2016,Nigeria,North Central,Corn,10.21,1705.08,7.53,4.64,1,62.81,24.76,37.48,39.89,Drought-resistant Crops,2145.28
1992,India,Tamil Nadu,Cotton,-0.23,1083.84,21.12,2.673,9,81.21,23.53,13.0,42.85,No Adaptation,652.9
2009,Russia,Siberian,Rice,2.6,1906.86,6.83,2.4,2,83.67,25.95,93.42,41.7,Crop Rotation,666.19
2007,India,Tamil Nadu,Vegetables,26.58,1780.37,5.03,2.69,2,52.49,17.98,15.77,73.0,Water Management,289.11
2008,USA,West,Barley,20.12,1726.06,17.39,3.519,3,20.93,49.05,38.29,75.91,Water Management,1688.01
2022,Brazil,North,Barley,17.9,2948.08,17.69,2.934,2,51.74,6.4,26.94,32.34,Water Management,1142.6
1997,India,West Bengal,Rice,22.27,2731.72,23.5,1.485,6,22.85,0.2,33.03,77.25,Organic Farming,668.63
2021,Canada,British Columbia,Vegetables,10.72,2592.91,8.64,1.66,0,35.46,42.31,65.3,88.53,Organic Farming,771.8
2004,Russia,Siberian,Rice,11.52,1307.87,7.18,2.66,3,64.38,40.73,59.52,97.21,Crop Rotation,722.87
2006,Nigeria,North Central,Rice,-1.84,588.7,21.77,1.485,7,74.73,32.34,64.12,51.19,Organic Farming,325.35
2022,France,Grand Est,Cotton,32.86,357.28,23.51,1.215,4,34.65,42.61,31.53,74.57,Water Management,252.29
2002,Canada,Ontario,Sugarcane,12.66,369.35,17.84,2.0160000000000005,2,77.67,4.51,39.68,93.93,Drought-resistant Crops,887.08
2023,India,Maharashtra,Barley,22.84,1773.19,9.19,1.27,4,52.43,25.92,10.16,86.92,Water Management,518.85
2003,Australia,Victoria,Corn,17.16,1583.9,26.91,2.529,9,94.01,39.18,49.74,61.18,Drought-resistant Crops,1138.52
2008,Australia,Western Australia,Sugarcane,29.98,2261.36,25.01,2.043,10,31.72,47.88,30.33,96.13,No Adaptation,779.44
2006,Nigeria,South West,Rice,13.91,2422.18,14.64,2.13,7,38.39,44.42,50.58,31.47,Water Management,489.71
1997,Russia,Siberian,Corn,16.16,1437.26,28.74,2.358,3,82.99,13.22,77.15,32.52,Drought-resistant Crops,712.62
2014,Australia,Western Australia,Barley,11.97,925.85,18.3,4.104,3,57.32,7.4,55.64,30.69,No Adaptation,732.34
2024,France,Provence-Alpes-Cote d’Azur,Rice,8.44,1826.14,3.77,2.39,2,16.98,17.35,27.41,52.2,Drought-resistant Crops,272.17
2024,Canada,Ontario,Coffee,23.95,2897.93,1.69,1.81,4,19.24,10.6,48.6,80.74,Drought-resistant Crops,653.48
1994,Russia,Northwestern,Rice,28.6,1115.66,17.61,1.638,0,48.55,47.24,51.9,32.58,No Adaptation,320.7
2002,China,East,Rice,11.63,2213.48,21.8,3.1410000000000005,5,59.5,14.17,54.56,60.61,Organic Farming,1459.41
2013,USA,Midwest,Corn,5.74,2114.15,13.19,2.94,9,31.08,13.41,31.29,86.23,Drought-resistant Crops,413.76
2012,France,Nouvelle-Aquitaine,Sugarcane,12.77,2558.77,10.54,1.6,1,44.32,25.46,87.08,55.42,No Adaptation,553.08
2018,China,South,Soybeans,-3.26,2404.68,28.73,0.657,0,92.93,32.57,33.52,94.5,Drought-resistant Crops,265.15
2021,Australia,Victoria,Coffee,8.2,1856.73,20.58,1.431,6,32.17,13.47,59.99,84.87,Organic Farming,381.33
2003,Nigeria,South West,Soybeans,-1.54,2701.05,14.45,2.14,9,55.88,0.72,81.54,45.43,Organic Farming,645.17
1999,Brazil,South,Corn,6.32,2275.48,27.27,1.539,3,33.44,22.08,12.94,39.63,Drought-resistant Crops,197.58
2009,Canada,Quebec,Sugarcane,12.7,968.45,27.67,2.52,2,78.66,28.64,67.21,73.2,Water Management,1247.07
2021,Russia,Northwestern,Coffee,32.46,2043.46,0.69,1.67,2,30.86,11.17,11.07,93.12,Drought-resistant Crops,174.83
1995,India,Punjab,Soybeans,20.86,1283.71,24.56,1.2240000000000002,8,82.82,10.0,29.4,46.0,Organic Farming,479.45
2003,Argentina,Northeast,Soybeans,33.88,2590.81,23.17,2.547,7,21.5,4.66,45.05,62.3,Crop Rotation,727.85
1998,Australia,Victoria,Fruits,8.51,1046.72,29.36,1.215,4,51.07,44.23,59.47,48.58,Water Management,412.13
1997,USA,Northeast,Soybeans,3.84,1178.99,2.49,1.33,1,46.12,3.82,56.68,54.04,Water Management,375.95
1999,Argentina,Northeast,Fruits,0.86,273.9,1.22,2.277,9,18.71,39.47,6.75,57.36,No Adaptation,488.49
2005,USA,Midwest,Fruits,17.33,1339.45,9.85,3.45,0,97.49,44.92,81.19,36.4,No Adaptation,1185.31
2004,Canada,British Columbia,Soybeans,29.61,1033.75,11.99,1.63,8,69.45,11.31,35.11,93.48,Drought-resistant Crops,193.86
2014,Nigeria,South East,Fruits,27.59,1314.12,25.65,1.152,4,66.76,33.03,63.98,65.8,Crop Rotation,240.63
2017,Argentina,Northwest,Rice,27.8,876.63,6.2,3.15,2,31.24,48.29,75.78,91.58,Organic Farming,704.54
2015,India,Punjab,Cotton,8.81,205.46,12.69,0.657,5,97.49,45.83,91.0,36.18,Crop Rotation,269.11
2013,Canada,Prairies,Wheat,19.01,1261.46,23.14,3.87,8,13.36,30.06,65.46,66.15,Organic Farming,1632.42
2008,Argentina,Northwest,Wheat,3.83,1909.91,5.79,1.11,10,94.1,44.69,14.54,85.88,No Adaptation,544.02
2014,Australia,Queensland,Corn,16.2,2682.47,3.88,3.98,6,74.93,15.43,32.79,78.83,Water Management,871.41
2017,Nigeria,South West,Corn,16.52,2592.7,9.25,2.31,3,96.65,44.17,21.8,49.6,Organic Farming,950.32
2001,China,East,Corn,32.57,2108.28,28.63,3.1410000000000005,8,65.66,38.79,11.06,86.38,Drought-resistant Crops,1250.65
1990,Argentina,Pampas,Wheat,14.98,1175.6,25.88,4.383,8,57.06,20.34,60.94,65.92,No Adaptation,1177.04
2011,Canada,Ontario,Cotton,10.99,1951.52,21.07,2.601,10,17.1,31.51,0.53,93.87,Crop Rotation,413.3
1998,Canada,British Columbia,Corn,14.36,296.95,28.24,3.078,7,27.39,40.37,85.26,42.59,No Adaptation,713.53
1999,China,Central,Rice,31.26,853.27,29.68,1.404,1,14.25,38.96,13.79,52.42,Water Management,614.88
2010,Argentina,Patagonia,Soybeans,1.97,2570.13,23.17,2.556,5,80.65,28.8,73.42,88.46,Drought-resistant Crops,829.84
2015,Russia,Northwestern,Fruits,8.37,764.58,15.02,1.584,4,92.39,40.08,98.74,36.01,Water Management,231.72
2008,USA,West,Barley,24.57,1212.42,4.38,3.0,2,34.16,39.46,69.5,85.01,Organic Farming,1374.56
2014,Argentina,Northeast,Corn,34.88,2816.57,22.88,1.035,7,54.64,31.62,58.32,53.06,Organic Farming,428.81
2017,India,Tamil Nadu,Rice,25.13,917.26,16.93,1.566,0,76.86,41.65,5.9,33.24,Crop Rotation,354.12
1990,China,East,Wheat,15.42,269.76,29.93,2.007,5,70.8,49.57,22.82,67.66,Crop Rotation,795.47
2004,USA,South,Vegetables,-4.37,2292.03,29.68,2.583,2,13.27,22.33,52.3,97.11,No Adaptation,878.12
2024,China,Central,Rice,34.18,2247.4,27.31,3.33,7,21.7,27.31,99.55,69.96,Drought-resistant Crops,668.04
1993,France,Grand Est,Cotton,17.03,2963.0,15.89,3.015,10,90.01,45.42,97.86,64.64,Drought-resistant Crops,903.09
2023,USA,West,Corn,28.55,2395.28,6.0,2.17,6,30.69,6.61,9.43,31.11,Organic Farming,293.21
2003,Nigeria,South East,Wheat,32.69,2947.62,15.42,0.7290000000000001,10,56.93,4.64,14.98,76.36,Drought-resistant Crops,281.67
2023,India,Punjab,Barley,29.49,935.71,20.08,2.655,3,24.55,0.67,72.4,98.17,Drought-resistant Crops,1185.57
1995,Argentina,Northwest,Corn,4.73,2974.22,1.61,2.97,2,14.16,40.81,56.93,44.34,Drought-resistant Crops,658.82
2010,France,Grand Est,Fruits,19.91,852.78,4.05,2.09,0,82.37,43.0,39.09,62.78,Organic Farming,710.31
2010,Argentina,Patagonia,Barley,31.97,1101.92,14.96,1.99,10,59.55,25.43,39.1,34.42,No Adaptation,388.26
2007,France,Grand Est,Vegetables,28.35,2444.37,13.7,2.6,5,49.37,25.89,25.3,42.09,Crop Rotation,388.79
1995,Nigeria,South East,Coffee,11.56,2329.59,25.09,1.53,2,47.26,17.61,14.11,75.76,Drought-resistant Crops,457.67
2003,Russia,Central,Corn,4.3,2944.75,25.29,0.5940000000000001,3,75.39,2.98,63.54,38.98,Drought-resistant Crops,149.94
1991,China,South,Vegetables,1.28,1509.39,7.2,2.56,0,78.62,10.99,44.64,43.56,Crop Rotation,704.03
2023,China,South,Coffee,1.63,2849.39,10.63,1.01,8,22.35,40.22,77.36,62.31,Water Management,449.33
2003,Russia,Northwestern,Corn,3.21,1949.4,13.8,0.9,1,10.42,18.5,55.28,33.1,No Adaptation,234.2
1993,Argentina,Pampas,Barley,16.71,1542.5,5.86,3.85,7,65.03,43.62,92.96,39.76,No Adaptation,873.87
